hotel_id,hotel_name,,,,,,,,,,,,,,,,,,,,,,,,
3494,Airy Jimbaran Kuta Pantai Kedonganan Bali,,,,,,,,,,,,,,,,,,,,,,,,
3473,Airy Denpasar Barat Pura Demak Gang Marlboro Bali,,,,,,,,,,,,,,,,,,,,,,,,
3498,Airy Kuta Bakung Sari 13 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3500,Airy Kuta Bakung Sari 14 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3496,Airy Jimbaran Wisma Udayana 20 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3501,Airy Kuningan Karet Pedurenan 41 Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
3503,Airy Kuta Kartika Plaza 8 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3502,RedDoorz @ Bakung Sari Kuta 2,,,,,,,,,,,,,,,,,,,,,,,,
3474,Airy Denpasar Barat Patih Jelantik 8 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3495,Airy Keraton Yogyakarta Panembahan Mangkurat 9,,,,,,,,,,,,,,,,,,,,,,,,
3510,Airy Kuta Wana Segara Gang Jepun Satu 4 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3511,Airy Legian Batu Pageh Gang Melan Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3509,Airy Legian Dewi Sri Empat Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3512,Airy Legian Dewi Sri Satu 8 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3513,Airy Legian Gang Bendesa 4 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3505,Kubu Anyar Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3515,Airy Legian Lebak Bene Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3504,Airy Legian 116 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3516,RedDoorz @ Lebak Bene Kuta,,,,,,,,,,,,,,,,,,,,,,,,
3523,Airy Legian Sriwijaya Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3524,Airy Legian Shri Lakshmi Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
